Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1144,gl - ol - cp - pl,48.68,2.73,12.93,,15.51,0.23,5.63,10.8,1.91,0.83,0.25,,99.5
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1135,gl - ol - cp - pl,48.13,3.22,12.72,,15.59,0.2,5.06,10.25,2.02,1.2,0.34,,98.73
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1126,gl - ol - cp - pl,48.22,3.43,12.53,,16.37,0.24,4.81,9.94,2.02,1.25,0.32,,99.13
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1117,gl - ol - cp - pl,48.63,3.91,12.19,,16.54,0.21,4.21,9.49,2.05,1.36,0.34,,98.93
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1197,gl - ol - cp - pl,48.78,4.32,12.08,,16.76,0.24,4.13,9.18,2,1.42,0.36,,99.27
FG1-Ac,Thy2006,1atm_furnace,0.001,0.00001,1201,gl - ol - cp - pl,49.88,1.69,14.57,,10.89,0.27,7.99,12.64,2.24,0.25,0.17,,100.59
FG1-Ac,Thy2006,1atm_furnace,0.001,0.00001,1179,gl - ol - cp - pl,49.44,2.2,13.93,,11.9,0.2,7.15,12.17,2.22,0.3,0.2,,99.71
FG1-Ac,Thy2006,1atm_furnace,0.001,0.00001,1161,gl - ol - cp - pl,48.62,2.79,12.93,,13.91,0.2,6.07,10.66,2.61,0.43,0.28,,98.5
FG1-Ac,Thy2006,1atm_furnace,0.001,0.00001,1138,gl - ol - cp - pl,48.07,4.03,12.04,,15.89,0.28,4.81,9.61,2.35,0.69,0.44,,98.21
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1182,gl,48.15,2.19,13.94,,13.28,0.22,7.09,11.54,2.24,0.37,0.18,,99.2
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1173,gl - ol - pl,48.49,2.32,13.62,,13.81,0.24,6.78,11.59,2.35,0.37,0.19,,99.76
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1163,gl - ol - cp - pl,48.22,2.52,13.13,,14.12,0.26,6.39,11.43,2.34,0.43,0.24,,99.08
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1154,gl - ol - cp - pl,48.4,2.68,12.69,,14.99,0.3,6.04,10.97,2.43,0.47,0.22,,99.19
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1144,gl - ol - cp - pl,47.99,2.99,12.43,,15.96,0.26,5.69,10.75,2.38,0.47,0.27,,99.19
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1135,gl - ol - cp - pl,47.8,3.26,12.18,,16.47,0.26,3.33,10.41,2.26,0.63,0.29,,96.89
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1126,gl - ol - cp - pl,47.69,3.86,11.78,,17.25,0.27,4.78,9.94,2.45,0.73,0.31,,99.06
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1117,gl - ol - cp - pl,47.36,4.37,11.45,,17.26,0.26,4.31,9.76,2.32,0.71,0.43,,98.23
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1106,gl - ol - cp - pl,47.05,4.92,11.04,,18.79,0.31,4.53,9.43,2.26,0.7,0.49,,99.52
FG1-Bc,Thy2006,1atm_furnace,0.001,0.00001,1201,gl - ol - pl,48.94,2,14.43,,12.5,0.16,7.58,12.17,2.36,0.27,0.14,,100.55
FG1-Bc,Thy2006,1atm_furnace,0.001,0.00001,1161,gl - ol - cp - pl,47.67,3.01,12.47,,14.51,0.25,5.81,10.65,2.56,0.45,0.3,,97.68
FG1-Bc,Thy2006,1atm_furnace,0.001,0.00001,1116,gl - ol - cp - pl,47.88,4.59,11.14,,17.52,0.29,4.2,9.33,2.41,0.75,0.58,,98.69
